epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7557,2.26123,5.27579,1.70846,0.00442,0.04853,0.00304,0.00169,1.58393,4.87312,1.27779,0.00014,0.00014,0.00014
2,114.651,1.58573,3.93581,1.2019,0.00819,0.74102,0.11653,0.04721,1.56672,4.67369,1.20471,0.000288564,0.000288564,0.000288564
3,169.664,1.56162,3.40125,1.25542,0.00963,0.7083,0.09196,0.04393,1.35008,4.53155,1.0933,0.000435644,0.000435644,0.000435644
4,224.846,1.42374,2.88285,1.1748,0.00643,0.54245,0.06816,0.02759,1.39681,4.66792,1.18875,0.000581238,0.000581238,0.000581238
5,282.185,1.42103,2.4477,1.21552,0.00573,0.59894,0.1084,0.06874,1.43548,4.42194,1.17309,0.000725348,0.000725348,0.000725348
6,339.311,1.3823,2.13674,1.16357,0.00619,0.92824,0.37094,0.23507,1.31653,3.96209,1.13989,0.000867973,0.000867973,0.000867973
7,395.271,1.40111,2.01625,1.19328,0.92373,0.25622,0.77339,0.46599,1.34946,3.32964,1.2758,0.0009703,0.0009703,0.0009703
8,450.516,1.43382,1.90027,1.25911,0.71393,0.47612,0.77412,0.43448,1.40709,3.04433,1.35343,0.00096535,0.00096535,0.00096535
9,505.791,1.44352,1.83295,1.26116,0.68002,0.60035,0.69779,0.42664,1.38197,3.08927,1.39837,0.0009604,0.0009604,0.0009604
10,565.344,1.33697,1.69062,1.20117,0.80306,0.81496,0.88744,0.54267,1.33456,2.33709,1.3014,0.00095545,0.00095545,0.00095545
11,632.112,1.3205,1.69339,1.20392,0.84699,0.88061,0.897,0.54244,1.34133,1.99171,1.29545,0.0009505,0.0009505,0.0009505
12,688.282,1.34566,1.66214,1.20149,0.87853,0.86721,0.93405,0.54641,1.40948,1.98579,1.28404,0.00094555,0.00094555,0.00094555
13,742.557,1.26601,1.62262,1.18029,0.93606,0.82868,0.94627,0.59662,1.29639,1.65807,1.26648,0.0009406,0.0009406,0.0009406
14,802.914,1.33641,1.51815,1.18543,0.89231,0.87192,0.92149,0.57744,1.34793,1.7092,1.24209,0.00093565,0.00093565,0.00093565
15,856.682,1.2637,1.41308,1.18128,0.88676,0.93843,0.94295,0.6167,1.2613,1.42091,1.24236,0.0009307,0.0009307,0.0009307
16,910.617,1.2739,1.39034,1.17895,0.96022,0.89323,0.95365,0.58568,1.36424,1.48716,1.26029,0.00092575,0.00092575,0.00092575
17,964.148,1.25667,1.3985,1.14304,0.86393,0.88857,0.9525,0.58233,1.38722,1.60063,1.25966,0.0009208,0.0009208,0.0009208
18,1018.07,1.26412,1.38701,1.11825,0.90139,0.8436,0.9401,0.59192,1.31946,1.48894,1.259,0.00091585,0.00091585,0.00091585
19,1082.4,1.26558,1.26642,1.15449,0.9403,0.91488,0.94149,0.60237,1.27188,1.35926,1.25364,0.0009109,0.0009109,0.0009109
20,1147.07,1.34026,1.32936,1.17055,0.96466,0.95838,0.97193,0.63138,1.27629,1.17979,1.2096,0.00090595,0.00090595,0.00090595
21,1209.88,1.21027,1.21815,1.11622,0.95311,0.95102,0.96368,0.62808,1.24402,1.15278,1.19042,0.000901,0.000901,0.000901
22,1272.72,1.21562,1.16521,1.1257,0.95616,0.88142,0.95241,0.6186,1.26882,1.163,1.18168,0.00089605,0.00089605,0.00089605
23,1335.74,1.23441,1.15773,1.14706,0.9676,0.91168,0.9652,0.63039,1.26495,1.18203,1.22215,0.0008911,0.0008911,0.0008911
24,1398.46,1.21532,1.18951,1.1569,0.93504,0.91434,0.96485,0.63099,1.26358,1.19084,1.22023,0.00088615,0.00088615,0.00088615
25,1461.17,1.25538,1.15508,1.17489,0.93129,0.93099,0.96264,0.62783,1.26333,1.1306,1.23974,0.0008812,0.0008812,0.0008812
26,1525.96,1.18993,1.09617,1.1194,0.97019,0.95921,0.97911,0.62897,1.26681,1.03473,1.26305,0.00087625,0.00087625,0.00087625
27,1589.63,1.20331,1.10285,1.12044,0.93227,0.95286,0.97534,0.61948,1.26509,1.03579,1.25244,0.0008713,0.0008713,0.0008713
28,1652.9,1.19784,1.03157,1.09265,0.92556,0.95709,0.96664,0.61763,1.29598,1.03207,1.26404,0.00086635,0.00086635,0.00086635
29,1716.66,1.19766,1.04207,1.11567,0.95103,0.93117,0.96398,0.60269,1.31557,1.03966,1.26527,0.0008614,0.0008614,0.0008614
30,1780.21,1.23716,1.00903,1.13721,0.93657,0.95003,0.97653,0.61408,1.26866,0.99807,1.24869,0.00085645,0.00085645,0.00085645
31,1843.62,1.14801,1.00069,1.09782,0.95976,0.94057,0.97359,0.63475,1.23462,1.00161,1.20268,0.0008515,0.0008515,0.0008515
32,1906.99,1.20167,1.08823,1.09872,0.93618,0.97884,0.968,0.63034,1.2403,0.93821,1.20621,0.00084655,0.00084655,0.00084655
33,1969.93,1.12217,1.09943,1.03108,0.96508,0.92741,0.95719,0.61917,1.24022,0.98841,1.19646,0.0008416,0.0008416,0.0008416
34,2033.15,1.06203,1.07457,1.01904,0.94941,0.97701,0.97066,0.62437,1.18689,0.90619,1.18998,0.00083665,0.00083665,0.00083665
35,2096.35,1.11149,0.95127,1.09523,0.93197,0.94989,0.96851,0.62359,1.22986,0.92055,1.22598,0.0008317,0.0008317,0.0008317
36,2158.77,1.03588,1.04539,1.00463,0.95425,0.92342,0.96754,0.63234,1.24634,0.93206,1.22375,0.00082675,0.00082675,0.00082675
37,2221.01,1.19581,0.94826,1.10948,0.97843,0.89194,0.96926,0.61341,1.28225,0.94233,1.26755,0.0008218,0.0008218,0.0008218
38,2283.25,1.21159,1.02337,1.11818,0.98473,0.94027,0.97148,0.62789,1.27161,0.8714,1.2412,0.00081685,0.00081685,0.00081685
39,2345.71,1.14687,0.90627,1.10173,0.90375,0.91416,0.94995,0.6523,1.18259,0.95056,1.15828,0.0008119,0.0008119,0.0008119
40,2407.57,1.11995,0.91064,1.08879,0.9268,0.94519,0.95341,0.62207,1.26724,0.9238,1.22409,0.00080695,0.00080695,0.00080695
41,2470.14,1.15952,0.91664,1.11087,0.95573,0.94975,0.9668,0.65118,1.18041,0.84775,1.19228,0.000802,0.000802,0.000802
42,2532.09,1.08196,0.88809,1.06972,0.93434,0.95166,0.96464,0.6378,1.2493,0.88825,1.22359,0.00079705,0.00079705,0.00079705
43,2594.31,1.10672,0.8758,1.08666,0.9303,0.92147,0.95797,0.62698,1.19862,0.95794,1.19003,0.0007921,0.0007921,0.0007921
44,2657.57,1.09013,0.85812,1.07557,0.9519,0.95531,0.96526,0.62746,1.2394,0.80725,1.20256,0.00078715,0.00078715,0.00078715
45,2720.16,1.12182,0.87265,1.07617,0.93098,0.97053,0.9706,0.6375,1.21957,0.80589,1.19196,0.0007822,0.0007822,0.0007822
46,2785,1.10833,0.86498,1.08482,0.96228,0.93469,0.97394,0.63879,1.22823,0.82717,1.21435,0.00077725,0.00077725,0.00077725
47,2851.77,1.09975,0.86489,1.07764,0.97265,0.93866,0.96765,0.62933,1.22953,0.78457,1.22035,0.0007723,0.0007723,0.0007723
48,2918.49,1.03336,0.81261,1.05572,0.92003,0.93373,0.94887,0.60557,1.23518,0.84098,1.26963,0.00076735,0.00076735,0.00076735
49,2983.37,1.09067,0.79718,1.06879,0.96402,0.91823,0.96297,0.62681,1.21987,0.82423,1.26036,0.0007624,0.0007624,0.0007624
50,3046.43,1.08059,0.8024,1.07806,0.95991,0.96616,0.98138,0.65243,1.2233,0.76763,1.23519,0.00075745,0.00075745,0.00075745
51,3108.99,1.07294,0.76814,1.07062,0.92348,0.96861,0.97399,0.63921,1.24006,0.77792,1.22954,0.0007525,0.0007525,0.0007525
52,3171.19,1.03302,0.75363,1.06948,0.96823,0.94538,0.96557,0.64162,1.215,0.74847,1.20436,0.00074755,0.00074755,0.00074755
53,3233.41,1.05137,0.76729,1.06179,0.96013,0.96846,0.97725,0.63365,1.22476,0.77119,1.20997,0.0007426,0.0007426,0.0007426
54,3298.3,1.01327,0.69887,1.01672,0.92277,0.97187,0.97514,0.64214,1.20051,0.75748,1.19628,0.00073765,0.00073765,0.00073765
55,3361.82,1.02913,0.74327,1.02379,0.931,0.95867,0.96685,0.64819,1.20831,0.74814,1.1962,0.0007327,0.0007327,0.0007327
56,3425.09,1.11903,0.77649,1.06653,0.93574,0.96309,0.96595,0.65438,1.19107,0.76887,1.20253,0.00072775,0.00072775,0.00072775
57,3490.93,1.0959,0.78993,1.05168,0.95011,0.95483,0.96545,0.62139,1.2402,0.77589,1.22341,0.0007228,0.0007228,0.0007228
58,3556.28,1.1136,0.79546,1.09198,0.97191,0.9486,0.96859,0.628,1.23845,0.7239,1.22916,0.00071785,0.00071785,0.00071785
59,3621.31,1.03805,0.74106,1.03361,0.94781,0.96425,0.96455,0.66165,1.19505,0.71395,1.1701,0.0007129,0.0007129,0.0007129
60,3686.27,1.05017,0.69628,1.05772,0.95121,0.94653,0.9611,0.63334,1.20818,0.70803,1.18251,0.00070795,0.00070795,0.00070795
61,3749.97,1.05966,0.6845,1.07026,0.96769,0.94666,0.96435,0.62472,1.22346,0.69521,1.2361,0.000703,0.000703,0.000703
62,3812.72,1.0282,0.71254,1.04355,0.97359,0.95593,0.96595,0.63723,1.24266,0.71186,1.24005,0.00069805,0.00069805,0.00069805
63,3874.96,0.99637,0.69033,1.02588,0.93261,0.9524,0.97493,0.65617,1.19556,0.6925,1.19894,0.0006931,0.0006931,0.0006931
64,3938.25,0.9973,0.75536,1.0059,0.95407,0.95569,0.97011,0.66979,1.19096,0.65993,1.1816,0.00068815,0.00068815,0.00068815
65,4000.44,1.04778,0.67925,1.0368,0.95303,0.96184,0.97176,0.66352,1.19557,0.67127,1.18023,0.0006832,0.0006832,0.0006832
66,4064.09,0.95449,0.71087,1.02377,0.96791,0.95434,0.96669,0.66493,1.16624,0.66646,1.17035,0.00067825,0.00067825,0.00067825
67,4128.81,1.00388,0.67657,1.04076,0.96428,0.96488,0.96776,0.65486,1.22877,0.68691,1.21265,0.0006733,0.0006733,0.0006733
68,4196.29,0.98346,0.67165,1.03145,0.95363,0.95447,0.96602,0.6396,1.22859,0.70122,1.21832,0.00066835,0.00066835,0.00066835
69,4259.44,1.03149,0.74965,1.0489,0.95371,0.94604,0.95651,0.63904,1.21277,0.6935,1.20473,0.0006634,0.0006634,0.0006634
70,4322.73,1.03733,0.69452,1.05837,0.97352,0.96562,0.9605,0.63414,1.20577,0.66924,1.21056,0.00065845,0.00065845,0.00065845
71,4386.16,0.96898,0.67991,1.0063,0.97647,0.97079,0.96424,0.63807,1.19368,0.68086,1.19176,0.0006535,0.0006535,0.0006535
72,4449.88,0.98904,0.69143,1.01438,0.96467,0.94862,0.95945,0.64165,1.19153,0.67926,1.18419,0.00064855,0.00064855,0.00064855
73,4513.23,0.97603,0.64608,1.00698,0.96496,0.94888,0.96086,0.65494,1.16059,0.65716,1.17661,0.0006436,0.0006436,0.0006436
74,4578.33,1.01965,0.67429,1.05426,0.96367,0.93506,0.96847,0.64411,1.19313,0.68231,1.20745,0.00063865,0.00063865,0.00063865
75,4643.89,1.08808,0.73257,1.08067,0.96704,0.94706,0.96164,0.63583,1.21795,0.65402,1.2215,0.0006337,0.0006337,0.0006337
76,4706.87,1.03038,0.63455,1.04833,0.96773,0.94938,0.97511,0.63582,1.2388,0.66197,1.22583,0.00062875,0.00062875,0.00062875
77,4770.35,0.92279,0.66885,0.95427,0.95154,0.96726,0.96768,0.63892,1.20036,0.65822,1.1982,0.0006238,0.0006238,0.0006238
